job_title,average_salary
Data Science Tech Lead                            ,375000.00
AWS Data Architect                                ,258000.00
Cloud Data Architect                              ,250000.00
Finance Data Analyst                              ,236269.00
Director of Data Science                          ,218240.00
Data Lead                                         ,212500.00
Data Science Manager                              ,200410.00
Head of Data                                      ,195749.00
Principal Data Engineer                           ,192500.00
Principal Machine Learning Engineer               ,190000.00
