job_title,counts
Data Operations Engineer                          ,16
Data Science Consultant                           ,39
Applied Machine Learning Scientist                ,16
AWS Data Architect                                ,2
Azure Data Engineer                               ,2
Marketing Data Analyst                            ,2
Big Data Engineer                                 ,13
Machine Learning Infrastructure Engineer          ,21
Data Analytics Lead                               ,3
Principal Machine Learning Engineer               ,1
Data Science Tech Lead                            ,1
Machine Learning Engineer                         ,598
Head of Data                                      ,25
Data Engineer                                     ,1873
Principal Data Architect                          ,1
Data Strategist                                   ,4
Lead Data Scientist                               ,11
Data Analytics Engineer                           ,6
AI Developer                                      ,20
Compliance Data Analyst                           ,2
Data Lead                                         ,4
BI Analyst                                        ,13
Cloud Database Engineer                           ,8
Data Analytics Specialist                         ,4
Power BI Developer                                ,1
Product Data Scientist                            ,1
Machine Learning Scientist                        ,50
Business Intelligence Data Analyst                ,2
Business Intelligence Engineer                    ,28
Lead Data Engineer                                ,6
Decision Scientist                                ,16
Applied Data Scientist                            ,13
Marketing Data Engineer                           ,2
Data Integration Specialist                       ,4
Principal Data Analyst                            ,2
Autonomous Vehicle Technician                     ,5
Staff Data Analyst                                ,4
Data Quality Analyst                              ,12
Data Architect                                    ,177
Data Management Specialist                        ,1
BI Developer                                      ,30
Big Data Architect                                ,3
Data Science Lead                                 ,19
Deep Learning Engineer                            ,10
Finance Data Analyst                              ,3
NLP Engineer                                      ,25
BI Data Engineer                                  ,2
Machine Learning Research Engineer                ,5
Financial Data Analyst                            ,4
Lead Machine Learning Engineer                    ,3
Data Operations Specialist                        ,4
Machine Learning Software Engineer                ,17
Computer Vision Software Engineer                 ,6
Head of Machine Learning                          ,1
AI Programmer                                     ,3
Data Analyst                                      ,1120
Data Science Manager                              ,97
Principal Data Scientist                          ,9
Business Data Analyst                             ,25
ETL Developer                                     ,18
BI Data Analyst                                   ,22
Data Scientist Lead                               ,2
ML Engineer                                       ,72
Data DevOps Engineer                              ,2
Research Engineer                                 ,97
Cloud Data Architect                              ,1
Applied Machine Learning Engineer                 ,8
Applied Scientist                                 ,176
Data Scientist                                    ,1531
Data Visualization Analyst                        ,4
Data Analytics Manager                            ,39
Data Manager                                      ,59
Manager Data Management                           ,2
Head of Data Science                              ,14
Data Analytics Consultant                         ,2
Analytics Engineer                                ,195
Data Science Engineer                             ,7
Business Intelligence Developer                   ,4
Computer Vision Engineer                          ,37
Machine Learning Researcher                       ,7
Lead Data Analyst                                 ,7
Product Data Analyst                              ,10
Principal Data Engineer                           ,2
Software Data Engineer                            ,4
MLOps Engineer                                    ,6
Data Specialist                                   ,36
Deep Learning Researcher                          ,2
Data Modeler                                      ,12
Data Operations Analyst                           ,8
Staff Data Scientist                              ,1
Sales Data Analyst                                ,4
Data Infrastructure Engineer                      ,12
Insight Analyst                                   ,8
Machine Learning Manager                          ,3
Research Scientist                                ,184
ETL Engineer                                      ,4
Cloud Data Engineer                               ,5
AI Scientist                                      ,21
Director of Data Science                          ,30
Machine Learning Developer                        ,9
