job_title,counts
Data Engineer                                     ,1873
Data Scientist                                    ,1531
Data Analyst                                      ,1120
Machine Learning Engineer                         ,598
Analytics Engineer                                ,195
Research Scientist                                ,184
Data Architect                                    ,177
Applied Scientist                                 ,176
Data Science Manager                              ,97
Research Engineer                                 ,97
